dp,trustrag,av,poisoning,mba,ado,answer_relevancy,faithfulness,context_relevancy,context_recall,poison_acr,mba_member,mba_non_member,poison_success,poison_total,dataset,poison_asr
False,False,False,False,False,False,0.93,0.74,0.489,0.593,0,0.0,0.0,0,0,nq,0.0
False,False,False,True,False,False,0.91,0.73,0.506,0.598,0,0.0,0.0,35,50,nq,70.0
False,True,False,True,False,False,0.89,0.79,0.462,0.614,0,0.0,0.0,0,50,nq,0.0
False,False,True,True,False,False,0.74,0.7,0.439,0.583,0,0.0,0.0,36,50,nq,72.0
True,False,False,False,False,False,0.863,0.77,0.321,0.361,0,0.0,0.0,0,0,nq,0.0
False,True,False,False,False,False,0.86,0.72,0.47,0.586,0,0.0,0.0,0,0,nq,0.0
False,False,True,False,False,False,0.78,0.77,0.449,0.592,0,0.0,0.0,0,0,nq,0.0
True,True,False,False,False,False,0.853,0.67,0.344,0.38,0,0.0,0.0,0,0,nq,0.0
True,False,True,False,False,False,0.74,0.58,0.286,0.364,0,0.0,0.0,0,0,nq,0.0
False,True,True,False,False,False,0.75,0.69,0.387,0.571,0,0.0,0.0,0,0,nq,0.0
True,True,True,False,False,False,0.863,0.72,0.305,0.35,0,0.0,0.0,0,0,nq,0.0
False,False,False,False,False,True,0.86,0.68,0.0,0.0,0,0.0,0.0,0,0,nq,0.0
False,False,False,False,False,False,0.7,0.79,0.514,0.575,0,0.0,0.0,0,0,triviaqa,0.0
False,False,False,False,True,False,0.72,0.85,0.516,0.589,0,29.5,12.0,0,0,triviaqa,0.0
True,False,False,False,True,False,0.74,0.73,0.262,0.353,0,16.8,12.0,0,0,triviaqa,0.0
True,False,False,False,False,False,0.75,0.82,0.264,0.359,0,0.0,0.0,0,0,triviaqa,0.0
False,True,False,False,False,False,0.72,0.81,0.509,0.567,0,0.0,0.0,0,0,triviaqa,0.0
False,False,True,False,False,False,0.68,0.83,0.513,0.606,0,0.0,0.0,0,0,triviaqa,0.0
True,True,False,False,False,False,0.79,0.75,0.266,0.339,0,0.0,0.0,0,0,triviaqa,0.0
True,False,True,False,False,False,0.74,0.76,0.222,0.354,0,0.0,0.0,0,0,triviaqa,0.0
False,True,True,False,False,False,0.713,0.79,0.494,0.59,0,0.0,0.0,0,0,triviaqa,0.0
True,True,True,False,False,False,0.69,0.77,0.232,0.336,0,0.0,0.0,0,0,triviaqa,0.0
False,False,False,True,False,False,0.687,0.79,0.512,0.585,0,0.0,0.0,28,50,triviaqa,56.0
False,True,False,True,False,False,0.71,0.79,0.514,0.574,0,0.0,0.0,0,50,triviaqa,0.0
False,False,True,True,False,False,0.69,0.83,0.514,0.589,0,0.0,0.0,28,50,triviaqa,56.0
False,False,False,False,False,True,0.7,0.81,0.0,0.0,0,0.0,0.0,0,0,triviaqa,0.0
False,False,False,False,False,False,0.833,0.643,0.424,0.625,0,0.0,0.0,0,0,pubmedqa,0.0
False,False,False,False,True,False,0.84,0.672,0.431,0.612,0,37.0,6.0,0,0,pubmedqa,0.0
True,False,False,False,True,False,0.793,0.7,0.273,0.402,0,19.3,5.0,0,0,pubmedqa,0.0
True,False,False,False,False,False,0.793,0.68,0.27,0.398,0,0.0,0.0,0,0,pubmedqa,0.0
False,True,False,False,False,False,0.803,0.712,0.418,0.584,0,0.0,0.0,0,0,pubmedqa,0.0
False,False,True,False,False,False,0.76,0.666,0.39,0.591,0,0.0,0.0,0,0,pubmedqa,0.0
True,True,False,False,False,False,0.803,0.66,0.267,0.383,0,0.0,0.0,0,0,pubmedqa,0.0
True,False,True,False,False,False,0.563,0.7,0.224,0.354,0,0.0,0.0,0,0,pubmedqa,0.0
False,True,True,False,False,False,0.477,0.77,0.326,0.52,0,0.0,0.0,0,0,pubmedqa,0.0
True,True,True,False,False,False,0.583,0.72,0.205,0.335,0,0.0,0.0,0,0,pubmedqa,0.0
False,False,False,False,False,True,0.603,0.71,0.0,0.0,0,0.0,0.0,0,0,pubmedqa,0.0
