dataset,dp,trustrag,av,poisoning,mba,ado,answer_relevancy,faithfulness,context_relevancy,context_recall,poison_asr,poison_success,poison_total,mba_member,mba_non_member
triviaqa,False,False,False,False,False,False,0.7,0.79,0.514,0.575,0.0,0,0,0.0,0.0
triviaqa,False,False,False,False,False,True,0.7,0.81,0.0,0.0,0.0,0,0,0.0,0.0
triviaqa,False,False,False,False,True,False,0.72,0.85,0.516,0.589,0.0,0,0,29.5,12.0
triviaqa,False,False,False,True,False,False,0.687,0.79,0.512,0.585,56.0,28,50,0.0,0.0
triviaqa,False,False,True,False,False,False,0.68,0.83,0.513,0.606,0.0,0,0,0.0,0.0
triviaqa,False,False,True,True,False,False,0.69,0.83,0.514,0.589,56.0,28,50,0.0,0.0
triviaqa,False,True,False,False,False,False,0.72,0.81,0.509,0.567,0.0,0,0,0.0,0.0
triviaqa,False,True,False,True,False,False,0.71,0.79,0.514,0.574,0.0,0,50,0.0,0.0
triviaqa,False,True,True,False,False,False,0.713,0.79,0.494,0.59,0.0,0,0,0.0,0.0
triviaqa,True,False,False,False,False,False,0.75,0.82,0.264,0.359,0.0,0,0,0.0,0.0
triviaqa,True,False,False,False,True,False,0.74,0.73,0.262,0.353,0.0,0,0,16.8,12.0
triviaqa,True,False,True,False,False,False,0.74,0.76,0.222,0.354,0.0,0,0,0.0,0.0
triviaqa,True,True,False,False,False,False,0.79,0.75,0.266,0.339,0.0,0,0,0.0,0.0
triviaqa,True,True,True,False,False,False,0.69,0.77,0.232,0.336,0.0,0,0,0.0,0.0
